painting_index,img_src,season,episode,num_of_colors,yt_src,colors_list,hex_list,subject_list,notes
294,https://www.twoinchbrush.com/images/painting294.png,1,13,8,https://www.youtube.com/embed/IEQWfszfRlA,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#DB0000', '#FFEC00', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'GRASS', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']",
269,https://www.twoinchbrush.com/images/painting269.png,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BUSHES', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']",
270,https://www.twoinchbrush.com/images/painting270.png,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['CONIFER', 'LAKE', 'SNOW', 'SUN', 'TREE', 'TREES']",
271,https://www.twoinchbrush.com/images/painting271.png,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#000000', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['CLOUDS', 'CUMULUS', 'DECIDUOUS', 'OCEAN', 'SUN', 'TREE', 'TREES', 'WAVES']",
272,https://www.twoinchbrush.com/images/painting272.png,2,4,3,https://www.youtube.com/embed/I-ousb8-SD0,"['Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['#021E44', '#FFFFFF', '#221B15']","['BUSHES', 'CABIN', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES']",
273,https://www.twoinchbrush.com/images/painting273.png,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BUSHES', 'DECIDUOUS', 'GRASS', 'LAKE', 'TREE', 'TREES']",
274,https://www.twoinchbrush.com/images/painting274.png,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BUSHES', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'RIVER', 'TREE', 'TREES']",
275,https://www.twoinchbrush.com/images/painting275.png,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['CLOUDS', 'CONIFER', 'CUMULUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']",
276,https://www.twoinchbrush.com/images/painting276.png,2,8,12,https://www.youtube.com/embed/0FYfo94qefg,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BUSHES', 'CIRRUS', 'CLOUDS', 'CONIFER', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']",
277,https://www.twoinchbrush.com/images/painting277.png,2,9,12,https://www.youtube.com/embed/PMDyPrE0puo,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#000000', '#DB0000', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['CIRRUS', 'CUMULUS', 'DECIDUOUS', 'OCEAN', 'ROCKS', 'SUN', 'TREE', 'TREES', 'WAVES']",
278,https://www.twoinchbrush.com/images/painting278.png,2,10,12,https://www.youtube.com/embed/BW2wKKFvH1g,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['DECIDUOUS', 'GRASS', 'RIVER', 'TREE', 'TREES']",
279,https://www.twoinchbrush.com/images/painting279.png,2,11,12,https://www.youtube.com/embed/GzSqjyQUPZQ,"['Alizarin Crimson', 'Black Gesso', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#000000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES', 'WATERFALL']",
280,https://www.twoinchbrush.com/images/painting280.png,2,12,12,https://www.youtube.com/embed/9jIt95PCFAA,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WATERFALL']",
281,https://www.twoinchbrush.com/images/painting281.png,2,13,12,https://www.youtube.com/embed/miJ19Kz_i3Y,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']",
256,https://www.twoinchbrush.com/images/painting256.png,3,1,12,https://www.youtube.com/embed/hoimk4s8JoQ,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BUSHES', 'CABIN', 'CONIFER', 'DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'STRUCTURE', 'TREE', 'TREES']",
257,https://www.twoinchbrush.com/images/painting257.png,3,2,12,https://www.youtube.com/embed/loit61vLUMc,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['CLOUDS', 'CUMULUS', 'MOON', 'NIGHT', 'OCEAN', 'PALM_TREES', 'TREE', 'TREES', 'WAVES']",
258,https://www.twoinchbrush.com/images/painting258.png,3,3,12,https://www.youtube.com/embed/fuFalEXVN0k,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES']",
259,https://www.twoinchbrush.com/images/painting259.png,3,4,7,https://www.youtube.com/embed/8ysFkNYwhAE,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Liquid Black', 'Phthalo Green\r\n', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#DB0000', '#FFEC00', '#000000', '#102E3C', '#FFFFFF', '#221B15']","['CABIN', 'CONIFER', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']",
260,https://www.twoinchbrush.com/images/painting260.png,3,5,7,https://www.youtube.com/embed/8Zge88tVwjE,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#8A3324', '#FFEC00', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['CIRRUS', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'HILLS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']",
261,https://www.twoinchbrush.com/images/painting261.png,3,6,10,https://www.youtube.com/embed/OHSm8kLE7js,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Midnight Black\r\n\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#000000', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BRIDGE', 'DECIDUOUS', 'PATH', 'STRUCTURE', 'TREE', 'TREES']",
262,https://www.twoinchbrush.com/images/painting262.png,3,7,10,https://www.youtube.com/embed/9N5IWKzYIyU,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#8A3324', '#FFEC00', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']",
263,https://www.twoinchbrush.com/images/painting263.png,3,8,9,https://www.youtube.com/embed/l141Y0x8om0,"['Alizarin Crimson', 'Black Gesso', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#000000', '#8A3324', '#FFEC00', '#102E3C', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['CLIFF', 'CLOUDS', 'CUMULUS', 'LIGHTHOUSE', 'NIGHT', 'OCEAN', 'STRUCTURE', 'WAVES']",
